place,magnitude,longitude,latitude,depth_km,time,year,month,day,energy_index,depth_score,frequency_index,mag_variability,composite_score
"27 km E of Nagarkot, Nepal",4.6,85.799,27.727,22.322,2023-12-31 16:36:23.043,2023,12,31,0.2558139534883721,0.14835614886749074,0.19197530864197532,0.0,0.17461774809829675
"93 km WSW of Myitkyina, Myanmar",5.0,96.5235,25.0911,10.0,2023-12-29 16:31:16.478,2023,12,29,0.3488372093023251,0.3247886905645809,0.03271604938271605,0.40466206967495205,0.2721685186938808
"45 km S of Farkhār, Afghanistan",4.2,69.9176,36.162,122.959,2023-12-28 07:58:08.799,2023,12,28,0.16279069767441845,0.0204858179138011,0.6055555555555555,0.5722785871122827,0.29932887562022803
"57 km SSE of Mawlaik, Myanmar",4.1,94.522,23.139,114.245,2023-12-25 23:53:27.068,2023,12,25,0.13953488372092981,0.022726464501737834,0.11296296296296296,0.5884436773761776,0.17102611777492727
"24 km S of Thang, India",4.6,76.7782,34.7111,34.705,2023-12-25 23:03:56.507,2023,12,25,0.2558139534883721,0.0937317077154206,0.004320987654320987,0.5158449474208552,0.1914247996764939
"14 km S of Rawalpindi, Pakistan",3.6,73.0469,33.4702,10.0,2023-12-22 00:31:13.762,2023,12,22,0.02325581395348797,0.3247886905645809,0.020370370370370372,0.6994335418879521,0.19934433140065144
"50 km WNW of Sabang, Indonesia",4.3,94.9014,6.0799,9.682,2023-12-20 06:42:50.029,2023,12,20,0.18604651162790664,0.33472986795790105,0.05740740740740741,0.6390647587885792,0.25901031172938127
"43 km NNE of Letpandan, Myanmar",4.5,95.9762,18.111,10.0,2023-12-19 12:14:23.981,2023,12,19,0.23255813953488325,0.3247886905645809,0.03333333333333333,0.5969745258604284,0.26047203369075195
"55 km NW of Sabang, Indonesia",4.1,95.0067,6.2812,10.026,2023-12-18 23:59:37.199,2023,12,18,0.13953488372092981,0.3240012484523973,0.06543209876543209,0.5722785871122827,0.2320373341736252
"85 km E of Falam, Myanmar",4.1,94.5073,22.8195,87.022,2023-12-18 23:43:13.481,2023,12,18,0.13953488372092981,0.032584233140431886,0.10679012345679012,0.5497797515471218,0.16614776118369917
"38 km SSW of Padam, India",4.8,76.6962,33.1609,10.0,2023-12-18 10:31:29.554,2023,12,18,0.3023255813953487,0.3247886905645809,0.034567901234567905,0.5627700027324393,0.2800686018480251
"41 km SSW of Padam, India",4.3,76.6507,33.1492,10.0,2023-12-18 10:27:11.437,2023,12,18,0.18604651162790664,0.3247886905645809,0.03518518518518519,0.5370528324718408,0.23566767287798496
"31 km S of Padam, India",5.1,76.8401,33.1836,10.0,2023-12-18 10:18:52.984,2023,12,18,0.3720930232558135,0.3247886905645809,0.03333333333333333,0.5941024532886108,0.3088784321073049
"58 km SSW of Jurm, Afghanistan",4.2,70.5946,36.3708,160.675,2023-12-18 06:11:34.085,2023,12,18,0.16279069767441845,0.013572911846018236,0.9117283950617283,0.5762932521377666,0.3747460587336481
"32 km SW of Dajal, Pakistan",4.3,70.139,29.3551,10.0,2023-12-18 06:08:00.569,2023,12,18,0.18604651162790664,0.3247886905645809,0.020987654320987655,0.5563884480740192,0.23501863250226235
"128 km NNE of Skardu, Pakistan",4.6,76.3623,36.2885,10.0,2023-12-17 04:17:06.162,2023,12,17,0.2558139534883721,0.3247886905645809,0.016049382716049384,0.5429111374253688,0.2561810726548931
"48 km SW of Jurm, Afghanistan",4.0,70.5292,36.504,204.177,2023-12-15 19:55:46.896,2023,12,15,0.11627906976744162,0.008755723341424828,0.9203703703703703,0.5436868043097364,0.3545322184930138
"64 km S of Jurm, Afghanistan",4.4,70.9487,36.2931,108.321,2023-12-14 06:04:56.346,2023,12,14,0.20930232558139528,0.02445367521961414,0.8993827160493827,0.5275133524608114,0.3833419146398593
"Nicobar Islands, India region",4.2,91.1737,8.2884,10.0,2023-12-13 16:22:04.474,2023,12,13,0.16279069767441845,0.3247886905645809,0.012345679012345678,0.5159609588801924,0.21865448041230695
"112 km SSE of Damusi, China",4.1,76.9915,36.7912,115.422,2023-12-13 00:05:16.195,2023,12,13,0.13953488372092981,0.022404227597008483,0.0154320987654321,0.5094882466825852,0.13471952789532338
"81 km NE of Mawlaik, Myanmar",4.3,94.865,24.2461,118.744,2023-12-12 20:07:17.705,2023,12,12,0.18604651162790664,0.021528907755034764,0.1191358024691358,0.4968845034880002,0.17481513214900996
"55 km SSW of Jurm, Afghanistan",4.9,70.6032,36.397,152.821,2023-12-12 02:05:45.531,2023,12,12,0.3255813953488369,0.01473299296718581,0.9154320987654321,0.5128732423457327,0.4234257476571073
"46 km E of Farkhār, Afghanistan",4.3,70.3729,36.5081,194.47,2023-12-11 02:33:56.043,2023,12,11,0.18604651162790664,0.009644785659479937,0.9111111111111111,0.5016114471464655,0.3705469703343849
"30 km SSE of Farkhār, Afghanistan",4.5,69.9711,36.3106,144.121,2023-12-10 03:38:19.102,2023,12,10,0.23255813953488325,0.016164618126989168,0.6993827160493826,0.49196564079904337,0.33407702850115856
"57 km E of Khorugh, Tajikistan",4.5,72.2049,37.4934,198.73,2023-12-08 23:30:14.549,2023,12,8,0.23255813953488325,0.009243972338808979,0.29691358024691356,0.4828468105047499,0.23036175855935223
"9 km E of Cherrapunji, India",4.2,91.786,25.2901,46.386,2023-12-08 03:16:57.576,2023,12,8,0.16279069767441845,0.06837126102594646,0.014197530864197531,0.47589995745651,0.14900393577705895
"289 km SSE of Port Blair, India",4.8,93.9828,9.3573,10.0,2023-12-05 14:45:03.410,2023,12,5,0.3023255813953487,0.3247886905645809,0.11543209876543209,0.4809778170410726,0.28801582337703613
"59 km SW of Ashkāsham, Afghanistan",4.2,71.0524,36.3089,132.983,2023-12-05 02:42:48.131,2023,12,5,0.16279069767441845,0.01826879971312339,0.8944444444444444,0.47485057194244334,0.3563826410168049
"71 km NW of Gyalshing, India",4.4,87.8388,27.8117,70.467,2023-12-04 19:04:15.283,2023,12,4,0.20930232558139528,0.04225115845532014,0.02962962962962963,0.4663094505088458,0.16117242855105265
"22 km E of Wana, Pakistan",4.5,69.8057,32.2829,44.594,2023-12-03 18:22:23.057,2023,12,3,0.23255813953488325,0.07141800683695823,0.014814814814814814,0.4591621886009123,0.17182788254028925
"31 km W of Mawlaik, Myanmar",4.3,94.0944,23.6171,70.037,2023-12-03 01:13:41.199,2023,12,3,0.18604651162790664,0.042562282985473376,0.13827160493827162,0.4520365967084688,0.17813024055697388
"41 km SSW of Khorugh, Tajikistan",4.0,71.3331,37.1609,126.516,2023-12-02 22:37:34.338,2023,12,2,0.11627906976744162,0.019659214713377525,0.8956790123456789,0.4553354694660319,0.3378325516032734
"48 km NW of Mawlaik, Myanmar",4.1,94.1295,23.9997,74.975,2023-12-02 12:51:24.704,2023,12,2,0.13953488372092981,0.03920141288588651,0.12222222222222222,0.45336752212552234,0.15719824639818097
"9 km ENE of Rāmganj, Bangladesh",5.5,90.9317,23.1475,45.057,2023-12-02 03:35:33.040,2023,12,2,0.46511627906976716,0.07060810270914321,0.00308641975308642,0.5259663552963815,0.26010928158443314
"128 km SE of Phek, India",4.6,95.5436,25.0005,166.34,2023-11-30 13:42:32.361,2023,11,30,0.2558139534883721,0.012803757953444692,0.07777777777777777,0.5204261946192694,0.19024419684662625
"27 km SE of Khorugh, Tajikistan",4.5,71.7332,37.2864,125.318,2023-11-29 22:09:55.713,2023,11,29,0.23255813953488325,0.019932416074366306,0.6493827160493827,0.5134301292292505,0.32573865125253393
"276 km ENE of Port Blair, India",4.8,95.2346,12.1737,10.0,2023-11-29 08:12:24.794,2023,11,29,0.3023255813953487,0.3247886905645809,0.03518518518518519,0.5145623797223107,0.27299177938416014
"44 km ESE of Wāngjing, India",4.2,94.4578,24.4108,73.909,2023-11-29 01:41:52.476,2023,11,29,0.16279069767441845,0.03988944460278144,0.12037037037037036,0.510097943067377,0.17355638938944096
"37 km SW of Ashkāsham, Afghanistan",4.3,71.2484,36.4367,92.344,2023-11-28 16:45:19.829,2023,11,28,0.18604651162790664,0.030204911290112137,0.9320987654320987,0.5040085248906048,0.3812934769839107
"107 km ESE of Phek, India",4.6,95.4219,25.1849,10.0,2023-11-28 12:11:50.049,2023,11,28,0.2558139534883721,0.3247886905645809,0.07777777777777777,0.49935306124598794,0.2650794599934181
"124 km WSW of Rikaze, China",4.7,87.7852,28.6795,74.708,2023-11-27 22:15:46.743,2023,11,27,0.2790697674418601,0.039371924804645415,0.03209876543209877,0.4971667087494181,0.19011709747624977
"296 km ENE of Port Blair, India",4.5,95.2787,12.6576,10.0,2023-11-26 19:24:22.473,2023,11,26,0.23255813953488325,0.3247886905645809,0.031481481481481485,0.4913684586417185,0.24416816064498248
"296 km ENE of Port Blair, India",4.3,95.2808,12.6444,10.0,2023-11-26 18:16:26.401,2023,11,26,0.18604651162790664,0.3247886905645809,0.031481481481481485,0.4862345153510691,0.22711899938394325
"81 km WSW of Myitkyina, Myanmar",4.1,96.6026,25.2211,10.0,2023-11-25 20:07:30.268,2023,11,25,0.13953488372092981,0.3247886905645809,0.03333333333333333,0.48550714118210686,0.21119378645412
"42 km SSE of Jurm, Afghanistan",4.1,70.9752,36.4972,201.314,2023-11-23 22:09:55.928,2023,11,23,0.13953488372092981,0.00900907438538204,0.9444444444444444,0.4845971323260819,0.35989015885869435
"14 km W of Kirtipur, Nepal",3.8,85.1323,27.6889,10.0,2023-11-22 19:34:26.202,2023,11,22,0.0697674418604648,0.3247886905645809,0.20246913580246914,0.4959767692174794,0.2306295766255471
"Nicobar Islands, India region",4.3,93.993,9.1066,10.81,2023-11-20 20:01:32.421,2023,11,20,0.18604651162790664,0.3018853728076667,0.09012345679012344,0.4909438241827222,0.23676006009662315
"100 km SSE of Hayuliang, India",4.7,96.995,27.257,10.0,2023-11-20 08:17:56.844,2023,11,20,0.2790697674418601,0.3247886905645809,0.02345679012345679,0.4898534429975308,0.25821380522629006
"36 km NE of Dipayal, Nepal",4.4,81.1707,29.5224,10.0,2023-11-20 05:52:27.597,2023,11,20,0.20930232558139528,0.3247886905645809,0.03950617283950617,0.4847241332438244,0.23703814979108379
"268 km SSE of Port Blair, India",4.3,93.8259,9.4841,100.6,2023-11-19 13:06:41.083,2023,11,19,0.18604651162790664,0.02700715375295501,0.13395061728395063,0.4801617168016423,0.17737997934924005
"37 km WSW of Ashkāsham, Afghanistan",4.3,71.1766,36.4976,221.689,2023-11-18 02:56:49.747,2023,11,18,0.18604651162790664,0.007347847779747138,0.9512345679012345,0.4786717319262232,0.3765626427789462
"42 km WSW of Ashkāsham, Afghanistan",4.2,71.1279,36.4844,242.573,2023-11-16 06:54:44.147,2023,11,16,0.16279069767441845,0.005933547143858672,0.941358024691358,0.4632020024179227,0.36327993750753906
"46 km E of Bhadarwāh, India",4.2,76.2091,33.0154,16.68,2023-11-16 04:04:18.591,2023,11,16,0.16279069767441845,0.19861829083152374,0.03518518518518519,0.4632020024179227,0.18490791355291208
"32 km SW of Ashkāsham, Afghanistan",4.9,71.312,36.4517,119.705,2023-11-15 00:05:03.423,2023,11,15,0.3255813953488369,0.02128467701345308,0.9358024691358025,0.47163852335799145,0.42397105341310554
"55 km E of Khorugh, Tajikistan",4.2,72.1751,37.4826,190.997,2023-11-14 21:42:29.939,2023,11,14,0.16279069767441845,0.00998471307310409,0.30617283950617286,0.4711422668358365,0.20668747235624113
"106 km NNE of Barishal, Pakistan",4.3,75.1448,37.2131,10.0,2023-11-14 07:38:45.677,2023,11,14,0.18604651162790664,0.3247886905645809,0.019135802469135803,0.4430588638696219,0.21755623190863976
"22 km N of Falam, Myanmar",4.3,93.667,23.1134,66.47,2023-11-14 00:25:47.867,2023,11,14,0.18604651162790664,0.045296064164808185,0.10679012345679012,0.4430588638696219,0.16959665555561018
"295 km SSE of Port Blair, India",4.4,94.0048,9.3023,10.0,2023-11-11 14:37:18.293,2023,11,11,0.20930232558139528,0.3247886905645809,0.10432098765432098,0.44253999864433896,0.24691423330486467
